DATE,REASON,ALTTIME,SPECIAL,SPEAKER,INSTITUTION,WEBSITE,TITLE,ABSTRACT

2015/12/07,,,,"Bhargav Bhatt","University of Michigan","http://www-personal.umich.edu/~bhattb/","Perfect rings and applications","I will describe certain surprising features of algebraic geometry that arise if one works exclusively with perfect rings of positive characteristic $p$; these features are are strongly reminiscent of derived algebraic geometry. When combined with some higher algebraic $K$-theory, this will allow us to attach ``determinants'' to certain mildly non-linear objects. Time permitting, I will explain why these determinants are useful in constructing an object of interest in arithmetic geometry: an algebraic variety in characteristic $p$ that parametrizes $\Z_p$-lattices in a finite dimensional $\Q_p$-vector space. This is joint work with Peter Scholze."
2015/11/16,,,,"David Treumann","Boston College","https://www2.bc.edu/david-treumann/materials.html","The Maslov cycle and the J-homomorphism"," Let $L$ be an exact Lagrangian submanifold of a cotangent bundle $T^*M$. If a topological obstruction vanishes, a Floer-theoretic construction of Nadler and Zaslow gives a functor from the category of local systems of $R$-modules on $L$ to the category of constructible sheaves of $R$-modules on $M$. I will discuss a variation of this construction that allows $R$ to be a ring spectrum. I hope it won't take any knowledge of symplectic geometry to follow the talk. This is joint work with Xin Jin."
2015/11/23,,,,"Ian Hambleton","McMaster University; Fields Institute","http://ms.mcmaster.ca/ian/ian.html","Group actions on spheres with rank one isotropy"," Actions of finite groups on spheres can be studied in various different geometrical settings, such as (A) smooth $G$-actions on a (closed manifold) homotopy sphere, (B) finite $G$-homotopy representations (as defined by tom Dieck), and (C) finite $G$-CW complexes homotopy equivalent to a sphere. These three settings generalize the basic models arising from unit spheres $S(V)$ in orthogonal or unitary $G$-representations. In the talk, I will discuss the group theoretic constraints imposed by assuming that the actions have rank 1 isotropy (meaning that the isotropy subgroups of $G$ do not contain $\Z/p \times \Z/p$, for any prime $p$).  Motivation for this requirement arises from the work of Adem and Smith (2001) on the existence of free action on products of spheres.

The main results are as follows: we give a complete answer in setting (C), where we prove that a necessary and sufficient group theoretic condition is that certain extensions, called $QD(p)$, of $SL(2,p)$ by $\Z/p \times \Z/p$ are not involved in $G$. In setting (B) we encounter more group theoretic restrictions, and give a complete answer for the finite simple groups $G$ of rank 2. The arguments use chain complexes over the orbit category. This is joint work with Ergun Yalcin."
2015/11/09,,,,"Eric Peterson","Harvard","http://www.math.harvard.edu/~ecp/","Determinantal K-theory and a few applications","Chromatic homotopy theory is a divide-and-conquer program for algebraic topology, where we study an approximating sequence of what we'd first assumed to be ``easier'' categories. These categories turn out to be very strangely behaved -- and further appear to be equipped with intriguing and exciting connections to number theory. To give an appreciation for the subject, I'll describe the most basic of these strange behaviors, then I'll describe an ongoing project which addresses a small part of the ``chromatic splitting conjecture''."
2015/11/02,,,,"Kirsten Wickelgren","Georgia Tech","http://people.math.gatech.edu/~kwickelgren3/","The $\A^1$-Milnor number: counting zeros arithmetically","A celebrated result of Eisenbud--Kimshaishvili--Levine computes the local degree of a smooth function $f : \R^n \to \R^n$ with an isolated zero at the origin. Given a polynomial function with an isolated zero at the origin, we prove that the local  $\A^1$-Brouwer degree equals the degree quadratic form of Eisenbud--Khimshiashvili--Levine, answering a question posed by David Eisenbud in 1978. This talk will present this result and then discuss applications to the study of singularities if time permits. This is joint work with Jesse Kass."
2015/10/26,,,,"Marc Hoyois","MIT","http://math.mit.edu/~hoyois/","Secondary K-theory and the categorified Chern character","The secondary $K$-theory of a derived stack $X$ is the $K$-theory of 2-vector bundles on $X$, also known as smooth proper $k$-linear dg-categories when $X = \mathrm{Spec}(k)$. It receives nontrivial maps from several interesting invariants: the Brauer spectrum of $X$, the iterated $K$-theory $K(K(X))$, and the Grothendieck ring of varieties (if $X$ is a field of characteristic zero). Toën and Vezzosi have constructed a character map associating to every 2-vector bundle a torus-invariant function on the double free loop space of $X$. I will explain how to refine their construction to obtain a secondary Chern character on secondary $K$-theory. This involves a localization theorem for traces in symmetric monoidal $(\infty,2)$-categories and a categorified version of the ordinary Chern character, which is a functor from noncommutative mixed motives over $X$ (in the sense of Kontsevich) to $S^1$-equivariant perfect complexes on $LX$. This is joint work with Sarah Scherotzke and Nicol\`o Sibilla."
2015/10/19,,,,"John Terilla","CUNY","http://qcpages.qc.cuny.edu/~jterilla/","Homotopy probability theory with an application to fluids","Homotopy probability theory is a version of probability theory in which the vector space of random variables is replaced with a chain complex.  I'll discuss how to use homotopy algebra (rather than analysis) to extract meaningful expectations and correlations among random variables.  I'll give some natural examples, including an example that extends ordinary probability theory on a finite volume Riemannian manifold and has applications to fluid flow."
2015/10/05,,,,"Cary Malkiewich","UIUC","http://math.uiuc.edu/~cmalkiew/","Duality in topological Hochschild homology (THH)","Topological Hochschild homology ($THH$) is a beautiful and computable invariant of rings and ring spectra. In this talk, I will focus on the ring spectrum $DX$, and discuss a few different aspects of $THH(DX)$. For example, it splits when $X$ is a suspension, and we can use this for computations in topological cyclic homology. I will also recall the ``Atiyah duality'' between $THH(DX)$ and the free loop space $LX$, and prove that this duality preserves the genuine $S^1$-structure. This uses the new ``norm'' model of $THH$, and a surprising technical result about orthogonal $G$-spectra. If there is time, I will apply these tools once more and describe an enrichment of the character map from representation theory."
2015/09/28,,,,"Sune Reeh","MIT","http://math.mit.edu/~reeh/Sune_Precht_Reeh.html","Saturated fusion systems as stable retracts of groups","A saturated fusion system associated to a finite group $G$ encodes the $p$-structure of the group as the Sylow $p$-subgroup enriched with additional conjugation. The fusion system contains just the right amount of algebraic information to for instance reconstruct the $p$-completion of $BG$, but not $BG$ itself. Abstract saturated fusion systems $F$ without ambient groups exist, and these have ($p$-completed) classifying spaces $BF$ as well. In spectra, the suspension spectrum of $BF$ becomes a retract of the suspension spectrum of $BS$, for the Sylow $p$-subgroup $S$, so $BF$ gets encoded as a characteristic idempotent in the double Burnside ring of $S$. This way of looking as fusion systems as stable retracts of their Sylow $p$-subgroups is a very useful tool for generalizing theorems from groups or $p$-groups to saturated fusion systems.  In joint work with Tomer Schlank and Nat Stapleton, we use this retract approach to do Hopkins-Kuhn-Ravenel character theory for all saturated fusion systems by building on the theorems for finite $p$-groups."
